date_time,avg,max,min
2026/02/25 06:00:00,1.15,1.8,0.4
2026/02/25 06:10:00,0.72,1.6,0.2
2026/02/25 06:20:00,1.0,1.7,0.2
2026/02/25 06:30:00,1.72,2.9,0.6
2026/02/25 06:40:00,1.0,2.0,0.5
2026/02/25 06:50:00,1.56,2.9,0.6
2026/02/25 07:00:00,1.88,3.2,0.2
2026/02/25 07:10:00,1.62,2.7,0.2
2026/02/25 07:20:00,1.9,3.3,0.9
2026/02/25 07:30:00,1.88,2.9,0.1
2026/02/25 07:40:00,1.48,2.8,0.4
2026/02/25 07:50:00,1.56,3.1,0.2
2026/02/25 08:00:00,1.2,2.8,0.1
2026/02/25 08:10:00,1.3,2.7,0.1
2026/02/25 08:20:00,0.98,2.3,0.1
2026/02/25 08:30:00,0.58,1.6,0
2026/02/25 08:40:00,0.82,1.8,0
2026/02/25 08:50:00,1.0,2.1,0.1
2026/02/25 09:00:00,0.98,2.0,0.1
2026/02/25 09:10:00,1.74,2.7,0.5
2026/02/25 09:20:00,1.42,2.5,0.4
2026/02/25 09:30:00,1.54,2.5,0.2
2026/02/25 09:40:00,2.12,3.2,0.8
2026/02/25 09:50:00,1.0,2.8,0.1
2026/02/25 10:00:00,1.72,3.7,0.5
2026/02/25 10:10:00,2.0,3.3,0.5
2026/02/25 10:20:00,2.04,4.0,0.5
2026/02/25 10:30:00,2.3,4.3,0.4
2026/02/25 10:40:00,2.08,4.1,0.4
2026/02/25 10:50:00,1.94,5.0,0.8
2026/02/25 11:00:00,1.76,4.0,0.4
2026/02/25 11:10:00,2.1,4.0,0.1
2026/02/25 11:20:00,2.68,3.9,0.6
2026/02/25 11:30:00,2.3,3.9,0.4
2026/02/25 11:40:00,2.74,4.4,0.4
2026/02/25 11:50:00,1.58,4.4,0.1
2026/02/25 12:00:00,2.1,3.9,0.1
2026/02/25 12:10:00,2.72,4.4,0.8
2026/02/25 12:20:00,2.92,5.4,1.3
2026/02/25 12:30:00,3.22,5.1,1.4
2026/02/25 12:40:00,2.12,5.5,0.2
2026/02/25 12:50:00,2.64,4.7,0.5
2026/02/25 13:00:00,2.86,5.2,0.1
2026/02/25 13:10:00,2.62,5.8,0.5
2026/02/25 13:20:00,3.92,6.9,1.4
2026/02/25 13:30:00,2.42,6.2,0.2
2026/02/25 13:40:00,3.3,5.9,0.5
2026/02/25 13:50:00,2.36,5.1,0.1
2026/02/25 14:00:00,3.4,7.0,1.0
2026/02/25 14:10:00,3.32,7.0,0.8
2026/02/25 14:20:00,2.42,5.4,0.1
2026/02/25 14:30:00,3.26,5.2,0.5
2026/02/25 14:40:00,3.44,5.9,0.9
2026/02/25 14:50:00,2.54,5.0,0.5
2026/02/25 15:00:00,2.92,5.1,0.6
2026/02/25 15:10:00,3.2,6.2,0.1
2026/02/25 15:20:00,3.88,7.0,1.6
2026/02/25 15:30:00,3.54,5.8,1.0
2026/02/25 15:40:00,2.5,5.0,0.1
2026/02/25 15:50:00,2.7,5.5,1.2
2026/02/25 16:00:00,2.28,4.3,0.8
2026/02/25 16:10:00,2.3,4.6,0.6
2026/02/25 16:20:00,1.06,2.9,0
2026/02/25 16:30:00,1.24,2.9,0
2026/02/25 16:40:00,2.12,4.6,0.1
2026/02/25 16:50:00,0.56,2.3,0.1
2026/02/25 17:00:00,0.96,2.4,0
2026/02/25 17:10:00,1.32,4.8,0
2026/02/25 17:20:00,2.14,4.6,0.6
2026/02/25 17:30:00,1.92,3.7,0.8
2026/02/25 17:40:00,3.56,5.1,0.4
2026/02/25 17:50:00,2.38,4.3,0.4
2026/02/26 06:00:00,1.36,2.4,0.5
2026/02/26 06:10:00,1.46,2.3,0.9
2026/02/26 06:20:00,1.4,2.3,0.9
2026/02/26 06:30:00,0.94,1.7,0.4
2026/02/26 06:40:00,0.22,0.8,0
2026/02/26 06:50:00,0.48,1.2,0
2026/02/26 07:00:00,1.1,1.6,0.6
2026/02/26 07:10:00,1.24,2.0,0.6
2026/02/26 07:20:00,1.3,2.3,0.6
2026/02/26 07:30:00,1.5,2.1,0.9
2026/02/26 07:40:00,0.96,1.8,0.5
2026/02/26 07:50:00,0.86,1.4,0.4
2026/02/26 08:00:00,0.72,1.2,0
2026/02/26 08:10:00,1.4,2.3,0.4
2026/02/26 08:20:00,1.7,2.5,0.8
2026/02/26 08:30:00,1.34,2.7,0.6
2026/02/26 08:40:00,2.04,2.7,0.4
2026/02/26 08:50:00,1.78,2.7,0.4
2026/02/26 09:00:00,1.7,2.8,0.8
2026/02/26 09:10:00,1.58,2.9,0.4
2026/02/26 09:20:00,1.98,3.5,0.2
2026/02/26 09:30:00,3.68,6.2,0.6
2026/02/26 09:40:00,3.76,7.3,0.9
2026/02/26 09:50:00,2.12,6.0,0.2
2026/02/26 10:00:00,4.98,7.7,0.1
2026/02/26 10:10:00,4.34,7.1,0.6
2026/02/26 10:20:00,4.68,7.1,0.5
2026/02/26 10:30:00,3.52,6.3,0.4
2026/02/26 10:40:00,3.12,6.0,0.5
2026/02/26 10:50:00,2.14,4.4,0.2
2026/02/26 11:00:00,2.44,5.0,0.2
2026/02/26 11:10:00,2.0,4.4,0
2026/02/26 11:20:00,2.0,5.1,0
2026/02/26 11:30:00,2.2,4.6,0.1
2026/02/26 11:40:00,2.1,4.0,0
2026/02/26 11:50:00,2.58,4.8,0.2
2026/02/26 12:00:00,2.34,5.6,0.8
2026/02/26 12:10:00,2.36,5.1,0
2026/02/26 12:20:00,1.2,2.8,0.1
2026/02/26 12:30:00,2.62,5.1,0
2026/02/26 12:40:00,4.14,5.2,0.9
2026/02/26 12:50:00,3.08,5.6,0.5
2026/02/26 13:00:00,2.62,5.9,0.8
2026/02/26 13:10:00,1.96,5.9,0.6
2026/02/26 13:20:00,2.5,5.0,0.1
2026/02/26 13:30:00,2.2,5.1,0.5
2026/02/26 13:40:00,1.7,4.6,0.4
2026/02/26 13:50:00,2.02,3.6,0
2026/02/26 14:00:00,1.46,3.5,0
2026/02/26 14:10:00,1.78,3.3,0.2
2026/02/26 14:20:00,2.2,4.6,0.4
2026/02/26 14:30:00,2.14,3.5,0.5
2026/02/26 14:40:00,1.6,3.6,0.8
2026/02/26 14:50:00,1.28,4.3,0
2026/02/26 15:00:00,0.82,2.1,0
2026/02/26 15:10:00,0.72,1.8,0
2026/02/26 15:20:00,1.18,3.5,0
2026/02/26 15:30:00,0.84,2.0,0
2026/02/26 15:40:00,1.18,2.7,0.1
2026/02/26 15:50:00,0.82,1.7,0
2026/02/26 16:00:00,0.96,2.5,0.4
2026/02/26 16:10:00,1.56,3.3,0.2
2026/02/26 16:20:00,2.92,5.1,0.6
2026/02/26 16:30:00,3.73,6.3,1.6
2026/02/26 16:40:00,1.58,3.3,0
2026/02/26 16:50:00,1.42,3.2,0.1
2026/02/26 17:00:00,0.78,2.9,0
2026/02/26 17:10:00,0.96,2.9,0.1
2026/02/26 17:20:00,1.06,2.3,0
2026/02/26 17:30:00,0.94,2.9,0.1
2026/02/26 17:40:00,0.84,2.0,0
2026/02/26 17:50:00,0.96,2.9,0
2026/02/27 06:00:00,2.06,3.3,0.8
2026/02/27 06:10:00,1.0,3.9,0
2026/02/27 06:20:00,1.3,2.9,0.1
2026/02/27 06:30:00,1.36,3.6,0.1
2026/02/27 06:40:00,2.2,4.1,0.4
2026/02/27 06:50:00,1.92,4.4,0.6
2026/02/27 07:00:00,2.18,4.1,0.4
2026/02/27 07:10:00,1.88,4.3,0.1
2026/02/27 07:20:00,1.62,4.7,0.1
2026/02/27 07:30:00,1.28,3.2,0.4
2026/02/27 07:40:00,2.0,3.7,1.2
2026/02/27 07:50:00,1.08,2.7,0.1
2026/02/27 08:00:00,2.6,5.0,0.2
2026/02/27 08:10:00,3.52,5.1,1.2
2026/02/27 08:20:00,2.38,5.5,1.3
2026/02/27 08:30:00,4.26,6.2,0.9
2026/02/27 08:40:00,4.34,6.0,1.3
2026/02/27 08:50:00,4.34,6.4,1.2
2026/02/27 09:00:00,4.88,7.8,1.3
2026/02/27 09:10:00,3.22,5.6,0.8
2026/02/27 09:20:00,4.58,7.1,1.0
